,Song,Artist,Scene Description
58,Run,Elenowen,Chris & Chase are in Karen's café talking about Chuck's dad & Alex; Clay is talking with his therapist/psychologist about his condition; Brooke & Millie are talking about Nathan's disappearance in the café & how to attract more customers again by having live music again; Quinn talks to Jamie by the pool about Nathan's disappearance while he watches a video of him.
59,My Demons Are Organized,Cameron McGill & What Army,Brooke walks into Karen's café only to see it empty; Tara comes to the café to talk to Brooke; Dan tries to tell Haley that he has nothing to do with Nathan's disappearance.
60,Too Little Too Late,Paul McLinden,Julian is throwing a ball against the wall in his studio space when Dan arrives to talk to him about renting out the studio; Brooke gets to Haley's house to learn that Nathan's missing.
61,Restless,Switchfoot,Clay is reading an X-Men comic when Mouth comes and visits him at Rehab to tell him that Nate's missing; Quinn talks to Haley about the current status of the investigation & Dan; Julian walks into a trailer to talk to Dan about looking for Nate and how Julian picked a fight at the bar; Clay leaves the rehab center without answering Logan's question.
62,Prince of Nothing Charming,Tyler Hilton,Clay & Quinn are talking to the therapist after Quinn finds him; Chris is performing live for a crowd at Karen's café while Brooke films him on his phone & is talking to Millie; Tara walks in to confront Chris for helping her competition.
63,Bunz Of Steel,Extreme Music,Chris is talking with a stripper at the strip bar about what Chase & Tara did behind his back while Chase sits beside him & pays for the stripper.
64,After Thought,Company of Thieves,"Julian & Dan arrive to look at a house; Haley & Jamie are talking on his bed about Nate and finding him; Julian & Dan see the investor who was blackmailing him is on his death bed; Nathan is trying to negotiate with his captors while he is held at gunpoint before 2 of them leave to go ""talk"" outside only to hear gunshots."
65,Hear the Bells,Vanessa Carlton,Brooke counting the money that she earned at the café; Tara walks in looking for Chase and Chris. Mouth works on his laptop and gets tempted to eat the pizza.
66,Hourglass,Drew Holcomb & The Neighbors,End montage.
67,Joey,The Horrible Crowes,Beginning. One of Nate's captors tries to get him to talk. Jamie talks to Haley about Nate's disappearance; Officer Stevens arrives at her house.
68,Graveyard,Feist,"Brooke tells Julian she wants to accept Xavier's request to see her. Clay talks to his therapist. Jaime, Quinn, Jaime and Lydia all go to greet Lucas."
69,Don't You Worry,The Dimes,Chase finds out he's being drafted to the air force and finds Pauline coming out of his bathroom; Chris under his blanket and another stripper beside Chris.
70,Under Streetlights,Brooke Annibale,"Clay talks to his therapist about signing Nathan & Nathan's family, Sara & protecting everyone; Lucas & Haley talk about Nathan's disappearance."
71,Sabotage,Amy Stroup,Jamie looks for a video of Nate in his bag & Quinn reassures him that they will find Nathan & the video.
72,Take Your Time,Cary Brothers,Chase tells Chuck that he's returning to the Air Force; Lucas & Haley continue to talk about Nathan & the kids.
73,(Not So) Sad and Lonely,DJ Shadow,Julian sends the Nathan video to Jamie. Julian finds Dan cooking in the warehouse. Dan and Haley watch the video. Clay and Dr. Alvarez talk about kids.
74,Islands,Hey Ocean!,"Xavier apologizes to Brooke. Brooke speaks during his hearing. Chase sees Chuck's dad at the bar with a girl; he goes to ""confront"" Chuck."
75,The Streets,Avalanche City,Haley says goodbye to Lydia and Jamie at the airport. Dan watches the video of Nathan.
76,Lordy May,Boy & Bear,Brooke talks to Julian while they're driving home. Chase asks Chuck if he wants to hang out with him and Chris. Chase finds a bruise on Chuck's rib cage and suspects he's getting abused by his dad.
77,If I Had a Gun...,Noel Gallagher's High Flying Birds,End montage.
78,Flicker,Rosi Golan,Quinn & David talk about Nathan's disappearance & catch up on their current lives; Clay talks to Dr. Alvarez tries to talk about Sarah; Chris arrives to Chase's loft.
79,Let it Linger,Perrin Lamb,Skills talks to Chase at TRIC about Lauren; Dr. Alvarez tries to get Clay to talk about Sarah.
80,Chapel Song,We Are Augustines,Beginning of the episode: Dan attacks someone & Julian asks him about it; Brooke puts up a help wanted sign & Xavier asks her for an application; Clay & Logan fly a toy airplane.
81,Barrel of Leaves,We Are Augustines,Clay and Logan talk. Clay finds out that Logan's leaving; Brooke tells Julian that Xavier has been let out; Chase talks to Chuck's parents about Chuck's bruises.
82,Cold Water,Damien Rice,Haley narrates about memories of her and Nathan & what she would do if he died as Quinn takes her to go to the morgue to identify a body who they believe is Nate.
83,Sorrowing Man,City and Colour,"Julian loses Xavier outside the café; Clay has flashbacks, revealing that Logan is his son; Clay confronts Dr. Alvarez about Logan; Chase is arrested; Clay leaves the clinic and goes home."
84,Forgiveness,Robin Foster,Brooke tells Haley about Xavier confronting her and what's happened with Dan's lead. Dan tries to get his lead to talk; Clay and Quinn drive home.
85,Night Out,Promise and the Monster,Beginning of the episode: Dan & Haley talk in his car about Nathan's captors; Chase is taken away in the back of the cop's car.
86,My Only One,Boy & Bear,Clay looks at a box of things from his past. Plumbers arrive at the café to fix; Brooke goes to confront Tara about the prank and finds Xavier working for her.
87,Only Now,JBM,Chase looks at his Air Force uniform and tells Chuck's mom that Chuck needs to be out of harm's way. Clay & Quinn talk to Dr. Alvarez.
88,Remember,Dreamboat Money,Mouth and Skills visit Jimmy's grave.
89,Last Thing,Matter,Haley goes to the bar to talk to Dan's lead in Nathan's disappearance.
90,Flying Into Tokyo,Magnetic Man,"Chase talks to Chris about what's going to happen to his position on the Air Force, Chuck and jail. Brooke and Julian talk about Xavier."
91,Crooked Branches,JBM,Clay talks to Logan outside. Chris goes to talk to Chuck about Chase going to jail.
92,At the Bonfire,Novosti,Brooke and Julian stalk Xavier; Haley talks to Dan's lead and tries to get him to pick her up.
93,Housewarming,Lucius,Brooke and Julian find out that Xavier didn't break into the house; Mouth cleans out his fridge; Clay spends time with Logan.
94,Dark Eyes,The Hangmen,Dan and Haley try to get Dan's lead to talk about Nathan's location; Haley attempts to beat him up before Dan sends her home before he sets a fire.
95,Music Box: Rock a Bye Baby,Dr. Sound FX,End of the episode: Plays on the twins' mobile while Brooke and Julian are sleeping; Xavier is in the nursery carrying one of the twins.
96,Forests,JBM,Clay is driving while he has a flashback; Haley watches the video of Nathan; Nathan narrates while he is tied to the chair.
97,Leave My Body,Florence + the Machine,Clay drives home with Quinn. Dan; Julian and Chris are camped outside a warehouse; Brooke cleans up the café and calls Julian.
98,Rock-A-Bye-Baby,ilymusic,Brooke walks through a parking garage & feels someone watching her; She gets into an elevator before the doors to the elevator open to reveal Xavier.
99,Chameleon/Comedian,Kathleen Edwards,"Clay visits Sara's grave to tell her about Logan, Quinn & Nate; Haley watches a video of an old press conference of Nate."
100,Reset,Lucie Silvas,End montage.
101,Never Let Me Go,Florence + the Machine,Beginning of the episode: Julian and Nate are getting Dan to the hospital; Brooke hears Julian's dispatch; Haley reunites with Nate.
102,Stay By Your Side,Waterdeep,Everyone reunites with  Nate; Brooke's dad arrives to her house; Nate gets news about Dan; Jamie and Lydia arrive with Deb.
103,Vice Verses,Switchfoot,Nathan and Clay talk about being kidnapped and Logan; Haley and Quinn talk; Haley congratulates Clay; Brooke and her dad talk; Nathan sees Lydia walk for the first time.
104,Emily's Rain,Peter Bradley Adams,Haley explains to Jamie that Dan got hurt saving Nathan; Nathan tells Dan it's all his fault; Dan tells him not to blame himself for what happened nor having to kill to escape.
105,The Best Thing,Doveman,"Julian reads Lucas' book; Clay watches Nate & Jaime play a game; Brooke, Brooke's dad & Julian talk in the kitchen; Clay tries to see Logan."
106,Goodbye Goodbye...,Michael Logen,Haley visits Dan; He holds Lydia and Haley promises that she and Nathan will tell her how much Dan loved her and Jamie when she asks about him; Jamie comes into the room and hugs Dan.
107,I Believe,Brooke Annibale,Dan dreams of telling Nate he's sorry everyday for what he did to Keith; Nate tells Dan that he forgives him because he's his father; Dan & Nate play basketball for fun; Dan flatlines with Nate by him
108,Us Against the World,Coldplay,Dan dies and sees Keith; Keith tells Dan he's proud he finally learned how to put friends and family first; Dan apologizes and Keith forgives him; Look on at Nate & his family before disappearing.
109,Changes,Jack Savoretti,Deb visits Dan and Dan asks that she stop blaming herself for Keith; Nathan tells Haley he doesn't know how to deal with losing a parent and Haley tells him that having friends and family close helps.
110,"The Day Is Long, The Night Is Young",Trent Dabbs,Beginning of the episode: Brooke helps Julian with his script before pitching his idea to a network; Brooke complains about her dad to her mom; Haley prepares her speech.
111,Stay By Your Side,Cathy Heller,Julian haves trouble with a draft so Brooke gives him her diary; Haley visits Chase at TRIC.
112,Feeling of Being,Lucy Schwartz,Quinn and Clay show Logan his room; they talk about the ocean; Julian reads an entry in Brooke's diary about her parents.
113,Protecting God,Eastern Block,Chase is at TRIC looking at pics of Alex and Tara on his phone; Auditions at the station are held; Quinn takes photoes of Logan and Clay at the beach.
114,Out of the Storm,Green River Ordinance,Quinn and Clay tuck Logan to bed; Haley goes through old memorabilia; Brooke's father tries to apologize to her; her parents tell her she can keep Baker Man.
115,Gimme Sunshine,Ryan Adams,Brooke and Haley reminisce.
116,Morning Light,Jonathan Jones,Julian shows Brooke his plan for the soundstage and tells her that the network approved his pitch.
117,Empty Threat,Kathleen Edwards,Brooke gives her opinion of Julian's script; Haley visits Chase at TRIC; Quinn gets Logan to step into the ocean while Clay takes pictures of them from the sand.
118,Everything Is Brilliant,Rosi Golan,"Chuck tells Chase he's burning his dad's things; Brooke & Julian talk before the Burning Boat Ceremony; Quinn, Clay & Logan ""camp""."
119,Free Like You Make Me,Cary Brothers,End of the episode: the boat gets lit for the Boat Burning Festival; Haley tells Chase he can have the TRIC; Clay proposes to Quinn w/ Logan's Green Lantern ring; Brooke accepts her parents' apology.
120,Half Moon,Blind Pilot,Opening montage.
121,This Is the New Year,Ian Axel,"""One Tree Hill: Always & Forever"" special."
122,Blue Sky,Bethany Joy Lenz,Haley performs at TRIC; Chase serves Mouth while he tells Chase about his first time at TRIC; Clay and Quinn ask Logan if he'd like to live with them for good.
123,Belief (Stripped Version),Gavin DeGraw,Gavin performs; Nathan and Haley talk; Julian tells Brooke that they now own her old house; Clay and Quinn tuck Logan into bed.
124,Feel Better,Jay Buchanan,"Nathan tells Jamie to play sports only if it makes him happy; Clay, Quinn and Logan are at the courthouse for custody papers."
125,Gun Is Loaded,Amie Miriello,"Nathan visits Chris backstage and thanks him for helping save his life; He gives Chris back his ""Haley James"" guitar that Chris had sold as a gift of thanks "
126,I Believe Jesus Brought Us Together,The Horrible Crowes,Haley shows Jamie the box of predictions; Jamie makes a prediction that he will beat Nathan's leading score.
127,I Don't Want to Be,Gavin DeGraw,Gavin performs while everyone sings along; Everyone hanging out at the Cafe.
128,Loaded Gun,Tyler Hilton,"Chris performs while everyone watches; Brooke, Julian, and Brooke's parents celebrate the official launch of the Baker Man line."
129,Soldier,Gavin DeGraw,Gavin performs at TRIC; Nate and Haley have dinner; Quinn and Clay sign adoption papers for Logan.
130,Sugar,The Horrible Crowes,Clay and Quinn are married; Brooke and Julian are at the studio; Mouth announces the Edwards/Scott Scholarship he has started on air.
131,Counting Stars,Augustana,"""One Tree Hill: Always & Forever"" special."
132,More Than Anyone,Gavin DeGraw,"""One Tree Hill: Always & Forever"" special."
133,I Don't Want to Be,Gavin DeGraw,"""One Tree Hill: Always & Forever"" special."
134,Kindly Unspoken,Kate Voegele,"""One Tree Hill: Always & Forever"" special."
135,Free Like You Make Me,Cary Brothers,"""One Tree Hill: Always & Forever"" special."
136,Sweeter Things,Bethani Joy,"""One Tree Hill: Always & Forever"" special."
137,Sick Of Dreaming,Alexander Cardinale,At the basketball game waiting for Jamie to play basketball.  
138,One Tree Hill,U2,"Basketball game at THHS; Everyone gives their final piece of advice in a voice-over; Jamie, now a teenager, runs out onto the court; Final freeze-frame of the cast."
