Song,Artist,Scene Description
Hard to Find,The American Analog Set,"Outside of Karen's Café, Haley tells Lucas the truth about her and Nathan. Lucas sees Peyton speed through red lights"
I Was on a Mountain,Hot Water Music,"Peyton is speeding in her car, Lucas gets in and tries to get her to slow down."
Want to Be Bad,Tegan and Sara,"Nathan goes to see Peyton, and ask her to come to the game."
I Don't Want to Be (Live),Gavin DeGraw,Lucas and Nathan square off against Dan and Keith during the Father-Son game
Glad to Be Alive,Low Flying Owls,Peyton is running red lights and almost gets into a car accident.
Many Rivers To Cross,Jimmy Cliff,Ending scenes of the episode.
Cool Kids,Screeching Weasel,Peyton is driving while Brooke is covers her ears against the blasting music.
Holiday,The Get Up Kids,Nathan and Lucas hop into a car that won't start. Plays again later on in the episode.
Impossible,Lucky Town,Nathan ask Haley to go to the Raven's away game.
Seven X Eight,Anjali,Brooke holds up a white handkerchief before entering Peyton's room.
Blueside,Rooney,Lucas puts the mix Peyton made for him into his portable CD player. / Basketball game between the Tree Hill Ravens and the Pickerington Pirates.
Hypocrite,Jibe,"Nathan gets into the car with the ""Things."""
Time Running,Tegan and Sara,"Peyton, Haley and Brooke are in the car. Brooke throws her pom-poms out the window."
Headlights,Dispatch,End montage.
Play it Straight,Bosshouse,Deb invites Karen to the party at her house
Kennedy,Kill Hannah,Brooke and Peyton get ready for the party.
She's got it so Phat,Bosshouse,Jake is talking to Lucas at the party
Pacific Ocean Blues,Gigolo Aunts,Lucas goes to talk to Peyton by the swings.
I'll Always Love You,Michael Campion,Lucas and Peyton are on the swing in Nathan's yard. Haley and Nathan are talking at the party when Brooke comes up and spills everything about Haley's note.
She Will Be Loved,Maroon 5,Lucas and Peyton are making out in a bedroom when things get serious and then Lucas says something and Peyton leaves.
Beautiful One,Jonny Lang,Brooke walks up to Jake and he turns her down and then she thinks he's gay. Karen and Dan are in a room talking. Luke walks in on Haley crying in the cafe about what she thinks Nathan did.
Say Yes,Bryan Greenberg,Nathan goes to his bedroom and finds the note then goes to the cafe to apologizes to Haley but she won't talk to him. Jake sings to his baby.
Calling All Angels,Train,Jake says goodnight to his baby. Nathan finds  Brooke passed out from drinking too much on his bedroom floor. Peyton is drawing in her room and Lucas is watching her on her webcam.
Read All About It,Kyf Brewer,Is briefly heard when Brooke and Peyton enter the party and are offered drinks.
Street Survivor,The Flaming Sideburns,Is briefly heard when Brooke and Peyton enter the party and are offered drinks.
Sparks,The Man,(incorrect: song is by Man Man) Brooke meets a random guy at the party named Fitch.
Time,Runaway Cab,When Gabe offers a drink to Peyton
Bad Circulation,Witchy Poo,"Brooke makes out with the ""college guy"" she just met."
No Exit,Runaway Cab,Gabe puts on music - Peyton starts to feel the drug he slipped her.
Filter Factory,Dee,Brooke goes looking throughout the party for Peyton.
Did it for the Drugs,Supafuzz,"Gabe tries to take advantage of Peyton, then Brooke calls."
Breaking Away,Bosshouse,Lucas breaks into Gabe's room to find out what he did to Peyton.
Dare You to Move,Switchfoot,Nathan & Haley kiss
Untold,Pete Francis,Peyton thanks Lucas for helping her and he watches Peyton and Brooke walk away knowing he has feelings for both
Splattered All Over the Highway,Kyf Brewer,Lucas and Haley browsing through CDs when Nathan walks into the music store
Hanging On for Hope,The New Amsterdams,"Opening, Peyton and Lucas talk about being just friends at the lockers; Nathan and Haley kiss in the classroom."
Push it Up,Cham Pain,Nathan works out at the school gym and Lucas tries to talk to him about Whitey.
Shabby Girl,The Electric Farm,Lucas talks to Haley outside the school; He tells her he hooked up with Brooke.
Rain King,Counting Crows,Lucas and Brooke make out at the bar.
Yesterdays,Pennywise,The basketball game.
Fallen,Sarah McLachlan,Nathan goes to Haley's house after collapsing at the basketball game.
Re-Offender,Travis,"Lucas, Brooke and Peyton have a stare down."
Re-Offender,Travis,Brooke stops by Lucas' house before school.
Everything,Fefe Dobson,Nathan and Haley lay in bed and talk.
Be Different,Lori Denae,Deb talks to Haley at the cafe about starting up live entertainment.
Downed,Cheap Trick,"Brooke enters Peyton's room, Peyton is drawing and Brooke takes pictures."
Girlfriend,The Band,Brooke arrives at the rivercourt to see Lucas.
Starting All Over,Jon Elliot,"Haley designs flyers for ""Open Mic Night""."
Bullet with Your Name on It,Lockgroove,Haley browses through Peyton's CD collection.
Mindleak,Bryan Greenberg,Jake's singing this song when Lucas walks up to Jake's front porch.
Blue and White,Beth Waters,"The pianist's song in Karen's cafe near the end. Gavin DeGraw arrives, Peyton thanks him for coming."
Lonely World,Bryan Greenberg,Jake singing at Keren's cafe.
I Don't Wanna Be,Gavin DeGraw,"Gavin DeGraw comes to play at Karen's cafe, the Ravens and some cheerleaders go to the River court and play basketball against each other."
Harder To Breathe,Maroon 5,Lucas and Brooke in the jacuzzi.
Simple Again,Buva,Keith and Deb are talking in Karen's Cafe when Dan walks in.
I Met a Girl,Wheat,Peyton and Brooke are talking. Peyton gives a CD to Brooke.
Everywhere She Goes,Across The Sky,"Peyton and Jake are walking together, Nathan and Haley skip school"
She's so Pretty,Kyf Brewer,"Peyton and her father have dinner at Karen's Café, Lucas joins them."
Ship of Fools,"World Party, Anthony Thistlethwaite",Lucas is talking with Peyton's father.
Avalanche,Ryan Adams,Brooke waits for Lucas on his porch outside of his bedroom
The Shadowlands,Ryan Adams,Ending scenes of the episode.
Overdrive,Katy Rose,Peyton shows Brooke and Lucas the car she wants to fix up for her Dad.
Fools at the Table,Matt Beckler,Peyton and Lucas drive to the coroners office.
Maybe Tomorrow,Stereophonics,Lucas and Peyton make out in the hotel room
Escape,Smith Point,Luke and Peyton in the car talking about them making out
The One You Want,The Get Up Kids,Lucas talks to Peyton at school about what happened at the motel.
Inside of Love,Nada Surf,Lucas and Peyton kiss in the hallway during school
Everybody Wants You,Josh Kelley,Haley ask Lucas for help with her free throw.
Leaving Trains,James William Hindle,Keith talks to Deb about Dan and where things are headed between the two of them.
Don't Confess (This Thing That Breaks My Heart),Tegan and Sara,Brooke telling  to  Peyton  that  she's  falling for Lucas
All I Can Do,Sandstrom Thomas,Peyton goes to see Haley at Karen's Café to ask her for some advice.
Pink Bullets,The Shins,Whitey leaves flowers on Camilla's grave. Nathan finds Whitey's 'Life List'. Haley makes a free throw in her PE class.
Brief Intermission,Rob Momary,Dan and Carrie get ready for dinner.
Most of the Time,Josh Canova,"Whitey adjusts his list, Peyton and Brooke talk in Peyton's room, Nathan and Haley talk in Haley's bedroom, Dan visits Deb at Karen's Cafe, Lucas and Keith at traffic light."
Swingset Chain,Loquat,Peyton comes to talk to Haley about visiting Luke.
Higher Than the Sun,Susan Calloway,Peyton visits Haley at the café and ask why she's not at the hospital.
Come Home Deliah,The Squirts,Nathan goes to Karen's Cafe to apologize to Haley but she refuses to accept
The Getaway,The Red Thread,Brooke asks Peyton if she wants to get a bite to eat and visit Lucas
I Shall Believe,Sheryl Crow,Nathan takes Haley to the hospital to visit Lucas when he wakes up after his car accident
Here Without You,Jenn Shepard,Lucas comes home from the hospital and breaks up with Brooke.
If She Wants Me,Belle and Sebastian,Lucas dreams about Peyton and Brooke
Come On,Ben Jelen,Haley leaves Lucas' room as Peyton arrives.
Been Around the World,Extreme Music,Nathan talks to Haley in her room about trying different things.
Alien,Arco,Karen talks to Keith at his shop.
It's You That I Find,David Graheme,Jake's first day at the cafe
Need You Here,Jude,Brooke and Karen scrapbook. Lucas goes over to Peyton's.
I Can't Make Me,Butterfly Boucher,Peyton draws while IM-ing Lucas
Dreaming,The Luxury Liners,Peyton talks to Lucas about being just friends.
Elsewhere,Bethany Joy Lenz,Haley sings for Nathan at the cafe.
Lucky Man,Thomas Anderson,Karen shows Jake a crib she set up for Jenny
Big Ballin (Above the Rim),Bigg Blue,Nathan pulls up to the school in his new car.
Never Like This,Buva,"Karen, Haley and Lucas are eating dinner at the café."
There Goes the Neighborhood,Sheryl Crow,Lucas goes to bar and meets Nicki
Parking,The Fuzz,Lucas and Nicki talk at bar.
Home,Sheryl Crow,Peyton is drawing in her room- and unhooks her web cam.
Tiny Little Fractures,Snow Patrol,Luke and Nicki still at the bar. He tells her about Brooke and Peyton.
Bleed,Stone Dogs,Brooke and Peyton look for Lucas at bar.
Lucky Kid,Sheryl Crow,Lucas and Nicki on carrousel.
Tell Your Story Walking,Deb Talan,Lucas and Nicki eat at Karen's Cafe.
He'll Be Around,Boss Martians,Brooke and Peyton argue at the bar.
Don't Forget,Kid Gloves,Karen talks to Deb about becoming business partners.
Breaking Away,Bosshouse,Deb comes to talk to Nathan
Nothing,Smashtrax,Nathan talks to Haley about not wanting to live with either of his parents.
It's Only Love,Sheryl Crow,Nathan hands the emancipation form to Deb. Lucas talks with Brooke.
The First Cut Is the Deepest,Sheryl Crow,Sheryl Crow performs at Karen's Cafe for Nathan and Haley for a cup of coffee
One In Every Crowd,Viva Voce,Haley tells Nathan she'll be joining him on the trip. Brooke critiques the cheerleaders.
Shadows Cast a Lie,James William Hindle,"Karen, Deb, and Keith at Karen's Cafe, Karen is asked to chaperon the classic"
Looking for a Reason,Paul Trudeau,The basketball team and cheerleaders get on the bus and head to Charlotte.
Slam,Midnight To Twelve,Nathan enters the hotel room as Lucas is listening to this song on the radio
"Good Girl, Bad Boy",JUNIOR SENIOR,"The Cheerleaders practice for the classic with Haley, Mouth dances"
Shake Yer Booty,APM Music,"Jake, Lucas, Tim and Nathan hang out at the strip club. Jake mentions to Lucas that Jenny's mom came back."
Big Man on the Block,Black Toast,The male strippers come out.
Get Naked,Black Toast,The Ravens basketball team and cheerleaders play in the pool during a poorly chaperoned away game.
Get Naked (as Heard In One Tree Hill),Hans DeKline,Pool party.
Mix It Up,Master Source,Bear Creek cheerleaders perform.
Kung Fu Fighting,London Bus Stop,Raven cheerleaders do their sparkle classic routine.
100 Years,Five for Fighting,Buses at Tree Hill back from the tournament.
All Kinds of Time,Fountains of Wayne,End montage; Whitey embraces his 500th win; Lucas takes Nathan's advice for getting back to the team deal with the pain and makes his first basket at the river court.
Big Brat,Phantom Planet,"Opening, Boy Toy Auction"
Push it Up,Cham Pain,Tim's act at the auction
You Can Leave Your Hat On,Tom Jones,Jake's act at the Boy Toy auction
For Sho,Master Source,Lucas during the Boy Toy Auction
Ladies Night,Kool & The Gang,Nathan's act at the auction
Nothing Can Change It,David Graheme,Larry goes to Karen's Café to ask her to dinner
No Good Without You,Tyrone Wells,Larry and Karen have dinner at his house.
You Bring Me,Pop,"Brooke & Mouth have their ""date"" at a trendy night club."
Note To Self: Don't Die,Ryan Adams,"Nathan and Peyton horseplay in the pool, Lucas and Haley have water balloon fight on the roof, Mouth and Brooke get a lap dance,"
It's Over Now,Ricky Fante,Tim comes to help Deb after boy toy auction.
Call Me Crazy,Marla Sokoloff,Brooke and Mouth talk in limo.
Been Around the World,Extreme Music,Mouth dances with some girls at the club. Brooke has an uncomfortable encounter with a random guy she hooked up with.
Just Be Simple,Songs: Ohia,"Nikki comes to talk to Jake, Keith comes to propose to Karen, Brooke comes to Lucas at the rivercourt"
Someone Like You,Master Source,Deb is exercising as Dan walks in.
Coming Undone,Highwater Rising,Lucas tries to approach Brooke; she blows him off. Lucas and Peyton talk
Spitting Games,Snow Patrol,"Haley and Peyton are hanging out in Peyton's room, Haley asks Peyton if Nathan's ever cheated on her"
Wrecking Ball,Viva Voce,"Nikki comes to school to talk to Peyton, Peyton and Brooke talk"
Broken,Hathaway,Keith tells Karen he's planning to leave Tree Hill.
Heaven,The Fire Theft,Nathan tells Haley that he loves her for the first time.
Love In December,Club 8,Brooke tells Luke that the doctor confirmed she's not pregnant.
Everybody Hurts,Dashboard Confessional,"At the end, Dan looks at pictures of Nathan and Lucas; Nikki watches Jake and Peyton with Jenny; Lucas tells Karen Brooke isn't pregnant."
Get Your Soul Freak On,Bosshouse,The camera pans over the passed out bodies of partygoers at Nathan's apartment.
Throw My Heart Away,Black Toast,Karen gives Keith the tie she bought him and they talk at the café.
Tested By History,Hoy,Luke comes to talk to Peyton in her room.
Luzer,Super Bright Lights,"Nathan trying to work at his new job ""Hot & Twisted."""
Coming Back To You,Black Toast,Dan tells Deb he's decided to agree to divorce
Yo Money (As Heard on Psych),Bosshouse,Getting ready to get the party started.
Spitting Games,Snow Patrol,Haley polishes her nails while she talks to Peyton about having sex with Nathan.
Party All Night,Menotti,Party at Nathan's apartment.
Fire In the Pouring Rain,The Blackouts,Brooke and Nikki at bar
Bring it On,Master Source,Haley tries to keep the party from getting out of hand.
I Believe in a Thing Called Love,The Darkness,Brooke and Nicki cause problems at Nathan and Haley's party.
What Do You Want,The Defendants,An argument breaks out between Nicki and Peyton.
What's Your Number?,Cypress Hill,Peyton and Nicki get caught up in an out-of-control catfight.
Apart,The Cure,Brooke spends the night at Peyton's house after they patch things up.
The Wish,Josh Canova,End montage.
I Can't Steal You,Matthew Ryan,Peyton and Larry talk
Through the Blue,Evan & Jaron,Lucas goes to Keith to ask the truth about Dan wanting joint custody of him.
No Tomorrow,The Blackouts,Haley works on Nathan's laptop when she discovers something disturbing.
Revelry,Sea Ray,Karen tells Dan how upset she is that he's bringing up things from the past to Lucas.
I Have Found Mine,The Blackouts,Haley visits Peyton and they talk about Nathan and what she found on his computer.
Time and Time Again,Chronic Future,"Haley asks Peyton for advise about Nathan, Nate and Luke workout together"
Thrown Away,VAST,Dan coaches the Ravens b-ball team
Once in a While,Gigolo Aunts,Peyton talks to Jake about him and Jenny leaving Tree Hill and catching the boat with her dad for the Keys.
Suffering,Satchel,"Haley confronts Nathan about the pics of Peyton & the porn on his laptop & tells him she gave him her heart & of that's not enough for him, she's not enough for him"
Don't Take Your Love Away,VAST,Peyton meets Jake at the dock to say goodbye
To You Alone,The Beta Band,Luke and Nate at river court; Dan talks to Haley.
More Than Anyone,Gavin DeGraw,Nathan apologizes to Haley and asks for forgiveness in the rain.
The Way You Walk,Faraci,Brooke tells Nicki that she will betray Peyton and tell her where Jake took Jenny.
EVENING STAR,All India Radio,"Luke and Karen talk about him leaving, Karen goes to talk to Keith, Haley and Nathan in his bedroom."
Breaking Away,Bosshouse,Peyton and Brooke talk about Jake in the club.
Nobody's Perfect,Dios Malos,"Luke and Haley at cemetary, B-ball game"
Stay,Michelle Featherstone,Lucas tells Hailey that he is leaving the next day; hailey gets in the car with nathan and cries; Keith and Deb; Lucas is told in the hospital that he cannot play basketball
Where Are We Runnin'?,Lenny Kravitz,Brooke tells Nikki where Jake is.
N.Y.C. Weather Report,Five for Fighting,Nathan tells Lucas that he'll miss him.
Run (Revised),Snow Patrol,Dan has a stroke; Nikki is driving in the car; Haley and Nathan tell Luke they got married.
See Me,Rob Giles,Beginning of the episode.
Empty Apartment,Yellowcard,"Keith is at the beach with Lucas, he gets the call about Dan's heart attack. Karen closes the cafe. Peyton is putting her drawing of Jake and Jenny to the wall, Brooke comes to meet her."
Take Your Mama,Scissor Sisters,Brooke and Peyton getting on the boat.
She Will Be Loved,Maroon 5,It's raining and Nathan asks Haley to marry him
Silence,Gomez,Brooke and Peyton are on the boat. Brooke flashes a group of guys.
Just As Well,Emily Sparks,"Brooke and Peyton on dock, Haley talks to Karen at cafe"
Lie In the Sound,Trespassers William,"End montage. Lucas comes back to Tree Hill; Brooke and Peyton are at the beach;
Naley's wedding on the beach."
My Heart,The Perishers,"Opening, Lucas lies on the ground at the river court, listening to his iPod."
Float On,Modest Mouse,Brooke and Peyton discuss Haley's reasons for marrying Nathan. Brooke signs Peyton up to LustFactor.com.
"""Life Is Good""",Junk,Haley and Lucas talk about her marrying Nathan. Brooke takes pictures of Peyton.
Make it up to You,Bosshouse,Brooke demonstrates her chair game to everyone setting up for the party.
Louque,Art,Peyton gets mad that Brooke posted pictures of her butt online at LustFactor.com
Cooper Moon,Tom Freund,Haley's parents comfort her while she sobs over her confrontation with Deb. Keith stops by Karen's house to return Lucas' iPod.
Watching Rainbows,The Badge,Brooke takes pictures of Peyton in the shower to post on LustFactor.com.
Headsprung,LL Cool J,Lucas takes pictures at the party. Nathan and Haley arrive at their reception.
"Hip Hop, Don't Stop",The Cobalt Party Revolution,Deb arrives at the party. Peyton meets a guy from Lust Factor
Mirror,Erica C.,Haley's parents tell her and Nathan that they're leaving town and selling the house.
Real Love,Toby Lightman,"Whitey brings Nathan and Haley a baby blanket. Haley confronts Brooke on the ""pregnancy issue."
The Distance,Coby Brown,"Peyton and Brooke tell Lucas what they did with the letter. Keith tells Karen he;s staying in town, Nate introduces Haley's parents to Deb"
Everybody's Changing,Keane,End montage.
Mirror,Erica Lane,Add scene description
Bridge and Tunnel,The Honorary Title,"Haley, Peyton, Brooke, Tim, and Nate in apartment"
Satellite,Junk,Nate and Tim in apartment talk about stripper
Keep Your Receipt,The Cobalt Party Revolution,The gang is sitting around discussing plans for the bachelor party.
Kill,Jimmy Eat World,End of the episode
C'mon,Go Betty Go,"Peyton, Brooke, and Haley in party bus"
Mirror,Erica Rose,Brooke's credit cards don't work at the strip club. The stripper shows up at Naley's apartment and tries to seduce Nathan.
Word Up!,Korn,Girls in lingerie store
Bad Habits,Michael Tolcher,Luke and Nate talk after bachelor party
Shake Dat Sh**,"Shawnna, Ludacris",The girls party in the limo and give Haley a fake I.D.
Bang Stranger,MC G-Nutz,"The ""mechanic""/ male stripper dances for the girls. Tim gets arrested."
Let's Get It Started (Spike Mix),Black Eyed Peas,The girls party in the limo with the male stripper
Fit But You Know It,The Streets,Nate's bacheor party sees Haley partying out of the moon roof
Mirror,Erica C.,"Girls at strip club, stripper arrives at apartment (only Nathan is there)"
Roll With Dub,Double Owe,Brooke reviews the bill and since she can't pay -- she ask the owner for an alternate payment plan.
Angel,Lo-Tel,Brooke sees Felix (pool boy) in her pool naked
Fire At Will,The Other Guys,Peyton stops by the cafe to talk to Karen.
Ever After,The Other Guys,Lucas overhears Deb talking to Karen about how Dan is doing.
13 States,Michael Meanwhile,"Brooke talks to Felix at school, he took her parking spot"
Big Days,PMG,Peyton tries on clothes at the lingerie shop.
There's Something Better,Hathaway,"Peyton comes to talk to Brooke, Brooke tells Peyton she's broke"
At the Speed of a Yellow Bullet,Head Automatica,Lucas and Dan race Felix
Raise Your Hands,PMG,Brooke tries to steal a bra from the lingerie shop.
All I Want from You Is Love,Let's Go Sailing,Dan and Deb
Sway,The Perishers,"Peyton and Karen start Tric, Andy comes to Cafe, Brooke swims in Felix's pool."
Endless Shovel,Rogue Wave,Karen visits Andy
16 Below,Light FM,"Felix, Brooke, Haley, Peyton, Tim, Nathan, Lucas, Skills, Mouth and Fergie all get envelopes in their lockers; they meet up at the cafe."
Welcome to the Movement,Dee,"The gang meets up at the mall to get started with ""Dare Night."""
The Keys To Life Vs. 15 Minutes of Fame,Atmosphere,Lucas is seen by mall cop
Everything Is,Nectar,Tim and Nate get the special
Funny Little Feeling,Rock 'n' Roll Soldiers,"Heard during a montage of scenes of the gang doing their dares.
Lucas returns clothes, Brooke/Felix dine and dash, Boy's at batting cages"
Good Time,Walkie Talkie,Anna and Lucas talk in the her car.
I'm Sorry,Black Toast,Brooke meets back up with Felix at the café.
Baby Got Back,Lee Norris/Mouth,Mouth sings Sir Mix-A-Lot's Baby Got Back (1992) karaoke on dare night.
Somersault,"Zero 7, Sia","Lucas and Anna talk, then take pictures in a photo booth at an arcade."
Collide (Chris Lord-Alge Mix aka Radio Edit),Howie Day,"Moments after dare night, boy's with turtle, Tim/Nate/Haley apartment, Felix drops Brooke off"
Dare You to Move,Switchfoot,Lucas walks Anna to her car.
Hey Sugar,D'Lovely,The gang meets back up with each other at the end of the night at the cafe.
Waiting for the Sun,The Shore,Lucas is throwing the coins back into the fountain
The Wind Blew All Around Me,Mary Lou Lord,Peyton and Chris at the store
Alive & Amplified,The Mooney Suzuki,Brooke and Felix hook up in the school's janitor closet.
Stay With Me Tonight,Wonderlife,Anna goes to talk to Lucas at the river court.
Glad,Tyler Hilton,Chris auditions at Tric
Sun & Stars,Michael Meanwhile,Karen and Andy take a walk in his garden. Brooke and Felix talk in her bedroom and Whitey looks at the picture from his 500th win
So Beautiful (Single Version),Pete Murray,everyone is watching the stars
Mid November,Johnathan Rice,End of episode
You're at the top (Hit List),High City Miles,Peyton goes by the CD store to ask Chris if he'll perform at the club.
Hey Emma Lou,Brett Walker,"Peyton and Haley run into a ""charitable"" Brooke at school."
On to you,Day and Night,Keith calls Jules to ask her out on a date.
Anything for You,Luther Russell,Dan stops by the café to apologize to Karen.
All the Time,D Note,"Brooke goes shopping with Haley for a dress to wear to the opening of Karen and Peyton's all-ages club, TRIC."
Alive & Amplified,The Mooney Suzuki,The opening of the club TRIC.
Walkie Talkie Man,Steriogram,Haley freaks out about performing at the club. Andy finally meets Lucas.
The Death of American Radio,Radio 4,Keith introduces Deb to his girlfriend Jules.
Dance Floor,Star,People dance at the club.
Let Me Fall,Bethany Joy Lenz,Haley performs her song at TRIC.
Stop the World,Riddlin' Kids,Lucas and Felix get into a fist fight.
Just a Lonely Boy,Lazy Stars,Karen talks to Andy before closing up for the night at the club.
Proof,I Am Kloot,Ending montage.
Sparkle Me,Buffseeds,"Haley, Brooke and Peyton apologizing to each other"
Fireball,Paul Trudeau,Felix and Brooke sneak over to her house early in the morning to hook-up.
Did I Lose You There?,Silver,Chris ask Haley if she wants to come to the studio and record some tracks.  yey hello yo
When the Stars Go Blue,"Bethany Joy Lenz, Tyler Hilton",Haley and Chris Kellers duet.
Time Keeps Turning,The Vents,Keith and Jules run into Karen and Andy at a restaurant.
Give It Up,Midtown,When Nathan and Lucas are watching the basketball game.
Gone to Earth,The American Analog Set,The girls have a slumber party at Nathan and Haley's apartment.
No Reason,Sum 41,"Girl's sleepover, pillow fight."
Every Ship Must Sail Away,Blue Merle,Ending montage of scenes.
Testing,Nolan,Haley and Brooke eat ice cream for breakfast while Anna and Peyton talk
Holiday,Doktor Kosmos,This is the song Lucas and Nathan are singing along to in the car.
What You Waiting For?,Gwen Stefani,Brooke showing Peyton and Anna her Formal dress; Lucas and Anna arrive at the dance
Shining Stars,Morella's Forest,Haley wakes Nathan up with breakfast in bed.
Higher,Vegas De Milo,Rick stops by TRIC to give Peyton something.. which includes cocaine.
(I'm Gonna) Steal Your Girlfriend,Teen Machine,Peyton and Brooke go shopping for Brooke's dress to wear to the formal.
When the Stars Go Blue,"Bethany Joy Lenz, Tyler Hilton",Chris and Haley record a song at the studio together.
Hope Springs Eternal,john gold,"Lucas dancing with Anna, Brooke dancing with Mouth"
Let's Go,The Rag City Dolls,Everyone dances at the formal.
You're a Day,Mitchell,"Nathan dances and talks with his mom, Deb."
The First Single (You Know Me),The Format,Anna discovers cocaine in Peyton's bag at the formal
All My Life,Vegas De Milo,Nathan and Haley fight at Nathan's parents' beach house.
Be Be Your Love,Rachael Yamagata,Anna is drunk; Lucas tells Anna he wants to wait until he is in love with someone to have sex with them
Trying,Master Source,Various scenes at the beach house.
Runaway,Trailer Park Pram,Peyton has a breakdown in her bathroom and is tempted to do cocaine again; Hailey and Nathan fighting about Chris Keller and High Flayers
Start it Over Again,Thornhill Broom Exp,Lucas and Brooke talk on the beach.
Rowing Song,Patty Griffin,"Deb tells Dan to stay; Hailey reads that Nathan was accepted into High Flayers, he is on the beach; Anna and Peyton in bed; Brooke and Lucas in the car ""friends without benefits"" and Felix sees them."
A Lot Like You,Pete Droge,Peyton runs into Karen in the ladies room.
How To Be Dead,Snow Patrol,Beginning.
When It Comes,Tyler Hilton,Chris is strumming on his guitar in the recording studio when Nathan stops by.
Life's Disease,Stutterfly,"Keith talks to Jules. Peyton cries and tells Lucas to walk away, Lucas tells her that he cares about her."
Sideways,Citizen Cope,Lucas confronts Dan. Anna goes to Peyton's house to apologize.
Shoot Your Gun,22-20's,"Lucas tows Brooke's car away and gets the windshield fixed.
Haley sees Chris at the studio recording
Peyton makes the shirt with DYKE and wears it to school."
Pills,The Perishers,Peyton calls Rick
Yours Until Tomorrow,Dee Dee Warwick,Add scene description
23,Jimmy Eat World,End of the episode.
Gather the Horses,Charlie Mars,Opening song for beginning sequences. Chris leaves by the bus.
One Against the Sun,D'Lovely,[Instrumental version] Nathan and Haley's apartment.
Sit Still,Public,Anna kisses Peyton.
