,Song,Artist,Scene Description
57,Boyfriend,Ashlee Simpson,Rachel brings cupcakes to the draft.
58,This Is The Place,Jim Kremens,"At the cafe, Lucas and Karen eat dinner and talk about the election."
59,All The Time,Kid Gloves,"The cheerleading squad drafts the boys in the ""Fantasy Boy Draft""."
60,Rewind - Decade In The Sun Version,Stereophonics,End montage.
61,i forgive you,emcee one,Add scene description
62,Lifting the Veil From the Braille,The Dissociatives,Nathan has a curious dream.
63,Let It Fall,Bosshouse,Karen and Deb climb the ladder in order to ruin Dan's billboard.
64,Good As Gold,Bleach,"Peyton, Mouth, and Mel (Fireball) race go carts"
65,Your Ghost,The New Amsterdams,"Lucas & Rachel have their date at the rivercourt. / Nathan and Haley talk on the balcony. / Brooke and Chris toast to her designs, and Karen and Deb get their ladder."
66,Tender,Feeder,"Nathan writes his prediction. Nathan tells Haley not to worry about their wedding spot, then gives her a purple' flower and says ""Don't say I never gave you anything."" Haley hugs Nathan."
67,I'm Going to Stop Pretending That I Didn't Break Your Heart,Eels,Brooke confesses to Peton & Haley that she slept with Chris. Peyton tries to cheer her up on a walk. Lucas jogs.
68,Motorcycle Dreamer,Red Letter Days,Brooke talks to her boss at Suburban Filth about her designs
69,Cracks In The Sky,Bosshouse,Chris talks to Dan about the money Nathan owes him for Haley' s studio time; Nathan and Lucas talk in the locker room.
70,Over,Jimmy Eat World,Haley & Peyton patch up in the car. Lucas & Nathan prep before the match.
71,Feels Just Like it Should (Remastered for 2006),Jamiroquai,song playing when the cheerleaders do their routine
72,Sirius,The Alan Parsons Project,Dan asks Lucas to pass the ball to Nathan during match.
73,Star-Spangled Banner,Tyler Hilton,chris sings before the game
74,The Mixed Tape,Jack's Mannequin,song playing during the basketball game
75,Song Beneath the Song,Maria Taylor,End of episode
76,Motorcycle Dreamer,Lamar,Add scene description
77,Holiday,Doktor Kosmos,Nathan & Chris Kellar drive to a Pokergame to win money for Haleys Musicdemo.
78,Funk Left,Mike Datz,Chris and Nathan play poker on the casino boat.
79,Keo's Blues,Luthor Russell,Add scene description
80,It Dawned On Me,Calla,"Montage - Brooke makes clothes, Chris/Nathan play poker and Karen calls someone."
81,Lights and Sounds,Yellowcard,Nathan and Chris jump of the ferry boat after they have taken the money from the poker game.
82,The Fallen,Franz Ferdinand,"Brooke has a ""fashion show"" of her new clothing line for Haley and Peyton."
83,Slumberland,James William Hindle,Brooke and Haley talk. Chris Keller leaves Tree Hill once again.
84,Say Anything,Dios Malos,Peyton's inner-self 'Peyngel' mimics and intimidates Peyton.
85,Disintegration,Jimmy Eat World,"Dan is announcing his win for Mayor, and Lucas and Deb are talking about the night she tried to set the dealership on fire."
86,Halo,Haley James Scott,Nathan listens to Haley's song. Peyton looks for Ellie's bracelet.
87,For Blue Skies,Strays Don't Sleep,"In the bedroom, Nathan asks Haley to stay the night with him. Lucas and Brooke kiss and say I love you."
88,"Sugar, We're Goin Down",Fall Out Boy,Beginning; season recap.
89,Song for a Sleeping Girl,Devics,Opening montage.
90,The Death of Us,The New Amsterdams,Peyton's ask Lucas to go see Ellie with her. Nathan drives to visit a secret someone.
91,Simple,Katy Perry,Lucas calls Brooke to let her know he's on the road with Peyton.
92,Lost In Hollywood,Fighter Pilot,"At Brooke and Haley's place, everyone makes dresses for Clothes Over Bro's."
93,Easier to Lie,Aqualung,Ellie and Peyton talk about Haley album.
94,To Wish Impossible Things,The Cure,Peyton and Ellie debate over the best Cure album.
95,State of Affairs,The Living Blue,Lucas and Faith play basketball
96,Since You've Been Around,Rosie Thomas,Deb and Nathan talk in the car.
97,Halo,Haley James Scott,End.
98,Over My Shoulder,I Am Kloot,Ellie surprises Peyton in her bedroom after the game.
99,Low C,Supergrass,Keith suprises Karen at the café
100,Concrete Bed,Nada Surf,Ellie and Peyton at the concert
101,You Wanted It (Album Version),MoZella,Lucas and Brooke are interrupted by the argument Nathan and Haley have
102,Free,Kate Earl,Lucas and Brooke talk about Rogue Vogue
103,Always Love,Nada Surf,Peyton and Ellie in the car. Peyton gets the call for Nada Surf.
104,Moksa,Twinstar,Add scene description
105,The Blues,Switchfoot,The end of episode
106,(So I'll Sit Here) Waiting,The Like,"Peyton talks to the guidance counselor; Peyton discusses the ""friends with benefits"" with Ellie"
107,Bounce,Molly M.,Brooke walks in on Mouth helping with a Raven cheerleading routine.
108,Adele,White Mud Freeway,Lucas comes over to Brooke's
109,Tell Me Story,Sorta,"Peyton and Ellie talk about music, art and cheerleading."
110,Steve McQueen Was A Great Papillion,Leif Karate,Heard during the first half of the basketball game.
111,Faith Hope Love,Starsailor,"Lucas makes the shot, the Ravens win the game."
112,Life After Love,Colored Shadows,"The end of episode. Peyton,Brooke,Haley,Lucas,and Nathan talk about their dream school and their values. Keith tells Dan to go home."
113,Missing You (Acoustic Version),Tyler Hilton,Haley and Nathan run out in the rain.
114,The State,Limbeck,Mouth comes to Rachel's room and takes a selfie to prove he was there.
115,Lions In the Storm,Elysian Fields,Rachel & Mouth talk. Brooke & Lucas try to find a light due to the blackout.
116,Hope,The Submarines,Brooke & Lucas argue in the rain. Peyton & Ellie talk in her room.
117,Where Gravity Is Dead,Laura Veirs,Nathan and Haley talk and eat cereal. / Karen and Keith talk at the café. / Dan searches Keith's apartment.
118,Think of You,Reeve Carney,Lights come back
119,Lock-Sport-Krock,Nikola Sarcevic,Peyton and Ellie say goodbye. Haley wakes up and finds Nathan hanging up her news paper clippings
120,World Spins Madly On,"The Weepies, Deb Talan, Steve Tannen",Brooke consloles Peyton at school. Dan goes to the bank. Peyton scatters Ellie's ashes at the meadow.
121,Here Comes a Regular,The Replacements,Ellie is dying & Peyton Gets the Friends with Benefit CD's.
122,Chali Arr Arr Tu Chali,Anand Bakshi S.D.Burman,Brooke asks the indian cabdriver to turn on the radio
123,Armani,Joel Wachbrit,Brooke and Solaris go to a New York City club.
124,Idle Acres,The Belles,"Peyton, Brooke & Haley drive to New York for Rogue Vogue."
125,Torn Between Two Lovers,Mary Macgregor,"Brooke, Haley & Peton play the radiogame in Brooke's car on their way to New York"
126,Nth Degree,Morningwood,"Brooke, Peyton, and Haley arrive in New York."
127,Huddle Formation,The Go! Team,The cheer competition and when everyone dances after Peyton messes up the routine.
128,Hard to Beat,Hard-FI,Peyton and Rachel drinking tequila
129,Tear You Apart,She Wants Revenge,Brooke finds Solaris in the VIP room
130,Let's Be Friends,Deathray,Rachel and Peyton talk and get drunk.
131,Go On My Child,Michelle Featherstone,Brooke decides between cheer & Rogue Vogue.
132,Love You More,James William Hindle,Peyton goes outside and Lucas joins her to talk.
133,Halo,Haley James Scott,When Haley sings at the concert.
134,Night Is Still,Strays Don't Sleep,Brooke and Peyton talk about the time capsule and benefit concert.
135,"Nobody Move, Nobody Get Hurt",We Are Scientists,Brooke and Peyton find out that Karen and Keith are engaged.
136,Holiday from Real,Jack's Mannequin,Mouth and Brooke talk backstage at TRIC
137,"A Little Less Sixteen Candles, a Little More ""Touch Me""",Fall Out Boy,at Tric for the Breast Cancer Benefit Concert
138,Dark Blue,Jack's Mannequin,at Tric for the Breast Cancer Benefit Concert. Also the ending CODA.
139,Finale,Les Misérables Original London Cast,"Haley hums then mentions the finale to the famous Broadway show ""Les Misérables."""
140,I'll Catch You,The Get Up Kids,Rachel and Mouth talk outside TRIC. Nathan and Haley talk in the dressing room.
141,The Mixed Tape,Jack's Mannequin,at Tric for the Breast Cancer Benefit Concert
142,God Bless the Child,Michelle Featherstone,End montage.
143,Saving Peyton Along The Way,John Nordstrom,"At the end, Jimmy and Keith are shot whiles Lucas is talking."
144,Do You Want to Come With?,Stephen Fretwell,At Keith's funeral
145,Break Your Mama's Back,Slow Runner,At the party in the school after the shooting
146,Can't Cry Hard Enough,Tom Freund,Lucas & Skills talk in his bedroom; Nathan & Haley are dancing together
147,How to Save a Life,The Fray,Nathan and Haley back together in apartment; Peyton and Pete; Whitey cleaning the hallway.
148,Light On My Shoulder,Susie Suh,Karen picks up Keith's shirt and cries; Rachel kisses Mouth telling him that she was the one who leaked the tapes.
149,Daughters of the Soho Riots,The National,Nathan and Haley on the football field waiting for rain.
150,If We Cannot See,Devics,"The end of episode, the guys go to Jimmy's funeral."
151,Revenge,The Waking Hours,Lucas and Rachel meet up with Brooke at the party.
152,Murderous Youth,The Living Blue,Add scene description
153,I've Got a Dark Alley and a Bad Idea That Says You Should Shut Your Mouth (Summer Song),Fall Out Boy,The end of episode
154,Reanimation,Blackalicious,everyone is dancing at the club
155,Get It Together,The Side Effects feat. TJ Zindle,"Everyone plays a game of ""Never Have I Ever."""
156,Brand New Orange,Limbeck,The gang packs the car at Lucas' house before they leave for the weekend.
157,Not What I Wanted,Evan Olson,"When Mouth mentions Rudy, the creepy guy who wants to dance with him."
158,Perfect Now,Sarah Blasko,"Luke told Brooke  he misses Keith, Nathan and Haley sleeping in bed. Mouth and Peyton talked about Pete."
159,Washed Out,The Eames Era,"When Brooke spills her tea on Haley, helping Nathan get Haley's wedding ring"
160,Time,Monsters Are Waiting,Peyton and Pete chat outside the cabin.
161,Rose,Stephen Fretwell,Mouth talks to Rachel in the jacuzzi. Brooke and Lucas snuggle by the fire.
162,The Fallen,Franz Ferdinand,when brooke trys to steal haleys wedding ring back for nathan to propose again!
163,We Belong Together,Gavin DeGraw,Haley tells Nate an idea she has for before the wedding. Luke tells Karen about his heart condition. Peyton goes to see Jake at the airport. Karen tells Deb she's gonna need a lot of help.
164,Train,Flipsyde,First game since Keith died. Lucas tells Whitey he can't play. Ravens forfit the game.
165,Temporary,Rogue Wave,Nathan and Haley talk in bed.
166,Begin,The Times,Mouth and Rachel are talking about how he didn't care what she looked like. At school
167,He Lays In the Reins,"Iron & Wine, Calexico",Lucas tells Whitey and Nate about his heart condition and leaves the game. Nate scores during the game.
168,Don't Go Home,Buddy,Larry talks to Peyton about guys and love.
169,Stupid,Spencer Tracy,"Fall Out Boy's manager, Bill calls Peyton."
170,Miracle of Mind,Joey Degraw,Lucas talks to Deb at the café.
